rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
140000,16000,32000,12000,24000,1,1399998,1399998,0,0,0.0,0.007629772072531532,0.006444,0.009537,0.011352,1.469904,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_12000_run1.csv
140000,16000,32000,12000,24000,2,1399395,1399395,0,603,0.000430900496285895,0.012253650417501849,0.009092,0.009889,0.048315,4.072731,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_12000_run2.csv
140000,16000,32000,12000,24000,3,1395153,1395153,0,4845,0.0034727373986939065,0.020087563576898018,0.006333,0.009722,0.036871,159.46908,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_12000_run3.csv
140000,16000,32000,16000,32000,1,1399998,1399998,0,0,0.0,0.008526925829179756,0.006445,0.009704,0.025519,1.195423,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_16000_run1.csv
140000,16000,32000,16000,32000,2,1398648,1398648,0,1329,0.000950203339224737,0.009325814577363282,0.008889,0.00963,0.014518,5.742709,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_16000_run2.csv
140000,16000,32000,16000,32000,3,1384554,1384554,0,15444,0.01115449451592354,0.01580349522662171,0.006389,0.009593,0.012889,108.036632,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_16000_run3.csv
140000,16000,32000,2000,4608,1,1374555,1374555,0,25443,0.01850999050601831,0.020272460283509937,0.006333,0.009315,0.009778,178.034535,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_2000_run1.csv
140000,16000,32000,2000,4608,2,1399992,1399992,0,6,4.285738775650147e-06,0.008533784521625837,0.006296,0.009518,0.011871,18.70849,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_2000_run2.csv
140000,16000,32000,2000,4608,3,1399998,1399998,0,0,0.0,0.007387199215284593,0.006315,0.009482,0.011574,0.240388,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_2000_run3.csv
140000,16000,32000,4000,8000,1,1399452,1399452,0,546,0.00039015271692062324,0.00712493373834901,0.006296,0.009408,0.011444,4.57823,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_4000_run1.csv
140000,16000,32000,4000,8000,2,1376181,1376181,0,23817,0.01730658975817861,0.04235085147375236,0.009185,0.033259,0.052444,409.680802,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_4000_run2.csv
140000,16000,32000,4000,8000,3,1399524,1399524,0,474,0.0003386865820093117,0.007896199677175954,0.006389,0.009482,0.014944,1.986588,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_4000_run3.csv
140000,16000,32000,8000,16000,1,1398438,1398438,0,1557,0.0011133850767785201,0.010781308092314425,0.006426,0.009741,0.064018,5.223746,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_8000_run1.csv
140000,16000,32000,8000,16000,2,1375866,1375866,0,24132,0.017539498759326852,0.02437742139060054,0.009259,0.009945,0.018481,204.305703,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_8000_run2.csv
140000,16000,32000,8000,16000,3,1399308,1399308,0,690,0.0004931008755756417,0.00852626711917605,0.009,0.00963,0.013889,4.091805,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_8000_run3.csv
140000,16000,32000,default,default,1,1399548,1399548,0,450,0.00032153238045426095,0.007602837801918905,0.006315,0.0095,0.010963,3.174197,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_140000_rcvbuf_16000_sndbuf_default_run1.csv
