mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us,queue_latency_us,deadline_miss_count
freertos,pico,363,10000,3620949,10000,0,7,0
freertos,pico,364,10000,3630949,10000,0,7,0
freertos,pico,365,10000,3640949,10000,0,7,0
freertos,pico,366,10000,3650949,10000,0,7,0
freertos,pico,367,10000,3660949,10000,0,7,0
freertos,pico,368,10000,3670949,10000,0,7,0
freertos,pico,369,10000,3680949,10000,0,7,0
freertos,pico,370,10000,3690949,10000,0,7,0
freertos,pico,371,10000,3700949,10000,0,7,0
freertos,pico,372,10000,3710949,10000,0,7,0
freertos,pico,373,10000,3720949,10000,0,7,0
freertos,pico,374,10000,3730949,10000,0,7,0
freertos,pico,375,10000,3740949,10000,0,7,0
freertos,pico,376,10000,3750949,10000,0,7,0
freertos,pico,377,10000,3760949,10000,0,7,0
freertos,pico,378,10000,3770949,10000,0,7,0
freertos,pico,379,10000,3780949,10000,0,7,0
freertos,pico,380,10000,3790949,10000,0,7,0
freertos,pico,381,10000,3800949,10000,0,7,0
freertos,pico,382,10000,3810949,10000,0,7,0
freertos,pico,383,10000,3820949,10000,0,7,0
freertos,pico,384,10000,3830949,10000,0,7,0
freertos,pico,385,10000,3840949,10000,0,7,0
freertos,pico,386,10000,3850949,10000,0,7,0
freertos,pico,387,10000,3860949,10000,0,7,0
freertos,pico,388,10000,3870949,10000,0,7,0
freertos,pico,389,10000,3880949,10000,0,7,0
freertos,pico,390,10000,3890949,10000,0,7,0
freertos,pico,391,10000,3900949,10000,0,7,0
freertos,pico,392,10000,3910949,10000,0,7,0
freertos,pico,393,10000,3920949,10000,0,7,0
freertos,pico,394,10000,3930949,10000,0,7,0
freertos,pico,395,10000,3940949,10000,0,7,0
freertos,pico,396,10000,3950949,10000,0,7,0
freertos,pico,397,10000,3960949,10000,0,7,0
freertos,pico,398,10000,3970949,10000,0,7,0
freertos,pico,399,10000,3980949,10000,0,7,0
freertos,pico,400,10000,3990949,10000,0,7,0
freertos,pico,401,10000,4000949,10000,0,7,0
freertos,pico,402,10000,4010949,10000,0,7,0
freertos,pico,403,10000,4020949,10000,0,7,0
freertos,pico,404,10000,4030949,10000,0,7,0
freertos,pico,405,10000,4040949,10000,0,7,0
freertos,pico,406,10000,4050949,10000,0,7,0
freertos,pico,407,10000,4060949,10000,0,7,0
freertos,pico,408,10000,4070949,10000,0,7,0
freertos,pico,409,10000,4080949,10000,0,7,0
freertos,pico,410,10000,4090949,10000,0,7,0
freertos,pico,411,10000,4100949,10000,0,7,0
freertos,pico,412,10000,4110949,10000,0,7,0
freertos,pico,413,10000,4120949,10000,0,7,0
freertos,pico,414,10000,4130949,10000,0,7,0
freertos,pico,415,10000,4140949,10000,0,7,0
freertos,pico,416,10000,4150949,10000,0,7,0
freertos,pico,417,10000,4160949,10000,0,7,0
freertos,pico,418,10000,4170949,10000,0,7,0
freertos,pico,419,10000,4180949,10000,0,7,0
freertos,pico,420,10000,4190949,10000,0,7,0
freertos,pico,421,10000,4200949,10000,0,7,0
freertos,pico,422,10000,4210949,10000,0,7,0
freertos,pico,423,10000,4220949,10000,0,7,0
